Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,20057.6,11590.4,20042.9,11819.5,2675.55371,20561.88867,353.90353,-52.0594,1.26739,2977.31055,23648.78125,12920,1,-1,7,0,0,348.8674,22.24524,20057.6,11590.4,20042.9,11819.5
405/647,20189.7,11376.8,20055,11721.8,2945.44727,11031.84473,247.06355,52.34162,1.19774,2870.29443,14276.57813,21163,1,-1,6,0,0,187.174,20.25606,20189.7,11376.8,20055,11721.8
405/647,20080.2,11594,20063.9,11823.7,3879.44653,19022.26563,282.68741,-58.36206,1.00975,3064.07446,23628.34375,12881,1,-1,-3,0,0,322.74507,16.24244,20080.2,11594,20063.9,11823.7
405/647,20087.6,11585.8,20072.3,11815.2,2672.55591,17866.03125,330.07367,-82.30798,1.01181,3024.01318,20355.35938,12906,1,-1,-5,0,0,303.12759,22.42861,20087.6,11585.8,20072.3,11815.2
405/647,20090,11610.8,20073.8,11840.5,2705.88623,15370.31348,304.26138,0,1.27441,2899.98096,19595.9375,12884,1,-1,10,0,0,260.7835,21.83766,20090,11610.8,20073.8,11840.5
405/647,20104.3,11534.4,20077.4,11766.4,5507.76563,32867.20313,311.85583,10.81391,1.18452,2953.94336,35245.78125,12431,1,-1,5,0,0,557.64798,11.86756,20104.3,11534.4,20077.4,11766.4
405/647,20092.7,11564.5,20077.8,11793.7,2539.36377,21409.10156,370.67816,-35.27008,1.03076,2910.2312,24185.67188,12917,1,-1,5,0,0,363.2418,23.09517,20092.7,11564.5,20077.8,11793.7
405/647,20038.8,11664.4,20096.1,11718.1,2330.19336,18855.54883,363.14816,24.58682,1.13677,2890.67188,21288.07813,4318,1,-1,-4,0,0,319.91644,24.90846,20038.8,11664.4,20096.1,11718.1
405/647,20052.9,11534.9,20111.6,11595.8,2657.99683,18138.84375,333.49384,-79.02406,1.18679,3057.83789,21044.9375,4776,1,-1,9,0,0,307.75632,22.63809,20052.9,11534.9,20111.6,11595.8
405/647,20089.1,11496.5,20119.6,11642.4,2173.22559,19610.13477,383.48474,-48.92697,1.14474,2864.81714,21710.95313,9538,1,-1,-3,0,0,332.71927,26.43493,20089.1,11496.5,20119.6,11642.4
405/647,20060.4,11518.5,20120.3,11582.8,2815.94214,22084.19922,357.5108,60.14982,1.02184,3128.24341,25160.07813,5058,1,-1,-3,0,0,374.69598,21.66618,20060.4,11518.5,20120.3,11582.8
405/647,20063.1,11633.4,20120.4,11687.1,2490.40601,8092.02637,230.11971,-72.27195,1.28387,3058.74219,12722.625,4320,1,-1,-3,0,0,137.29498,24.18825,20063.1,11633.4,20120.4,11687.1
405/647,20043.4,11658.3,20100.7,11712.1,2793.04712,13110.59082,276.58728,-40.0238,1.21087,2999.60986,16386.10938,4325,1,-1,10,0,0,222.44346,21.55067,20043.4,11658.3,20100.7,11712.1
