"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
583,37598.9,18412.8,146.2,204,512,12.2,29.16,1
2061,37722.4,18372.5,144.3,158,471,12.2,34.97,1
19088,37721.9,18416.7,124.0,191,473,12.2,22.22,1
30316,37438.6,18435.5,167.9,217,473,12.2,34.44,1
25128,37605.2,18454.3,162.8,254,451,12.2,27.52,1
19101,37633.5,18455.5,140.7,202,471,12.2,26.46,1
43269,37639.7,18457.3,120.3,214,469,12.2,18.96,1
43265,37641.3,18448.7,149.8,563,463,12.2,15.38,2
23366,37643.0,18436.1,156.5,261,445,12.2,24.78,1
43273,37602.3,18458.4,131.7,598,458,12.2,11.54,2
13413,37629.6,18461.8,189.2,227,470,12.2,41.12,1
17962,37587.6,18462.7,111.0,151,458,12.2,22.20,1
45874,37531.3,18471.1,145.3,155,470,12.2,35.93,1
43276,37640.4,18466.1,147.8,663,459,12.2,15.23,3
43287,37614.7,18472.3,138.3,275,484,12.2,19.58,1
43291,37646.1,18450.5,169.7,548,457,12.2,19.68,2
17650,37655.4,18435.6,135.6,187,463,12.2,26.35,1
17654,37657.1,18464.0,159.3,177,449,12.2,36.88,1
11085,37664.8,18443.4,138.7,189,478,12.2,27.54,1
31924,37658.2,18453.1,141.6,350,461,12.2,21.40,2
13431,37670.1,18427.4,154.5,426,463,12.2,20.99,2
39941,37678.9,18434.1,113.5,111,467,12.2,30.96,1
8922,37689.2,18438.1,132.7,679,469,12.2,12.37,3
42269,37696.3,18438.4,153.6,188,452,12.2,32.76,1
4827,37689.7,18445.5,156.8,220,454,12.2,29.46,1
41128,37674.2,18458.6,155.5,223,444,12.2,28.35,1
2068,37682.3,18458.1,124.3,164,482,12.2,25.86,1
8927,37696.0,18447.7,123.6,243,454,12.2,17.51,1
15185,37727.9,18453.2,147.7,1048,463,12.2,11.31,4
16689,37703.5,18456.6,121.2,232,483,12.2,18.06,1
32185,37738.7,18467.1,163.8,1110,464,12.2,11.52,3
43295,37655.3,18470.0,146.1,484,488,12.2,13.15,1
11089,37666.1,18470.3,163.6,502,459,12.2,19.99,2
41126,37681.7,18470.3,143.0,206,419,12.2,25.52,1
32207,37717.8,18471.6,139.0,172,462,12.2,29.73,1
