Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,13045.1,10420.1,13104.7,10481.3,3246.5332,19392.01953,312.00519,-40.39011,1.04758,2778.24683,23087.90625,27063,1,-1,-2,0,0,329.01858,18.25696,13045.1,10420.1,13104.7,10481.3
405/647,13090,10432,13112.6,10473.1,3744.10522,27019.17773,342.94324,-38.24164,1.25363,3288.16748,29563.79688,12384,1,-1,8,0,0,458.42628,17.14084,13090,10432,13112.6,10473.1
405/647,13133.3,10498.6,13136.2,10508.5,4907.4209,21940.05664,269.93079,56.53937,1.08007,3010.80444,24026.57813,5673,1,-1,-2,0,0,372.25036,13.21349,13133.3,10498.6,13136.2,10508.5
405/647,13031.1,10436.2,13130.6,10510.4,3978.10156,23163.55273,308.05261,-13.99978,1.16087,2394.47168,25666.89063,34013,1,-1,6,0,0,393.00905,14.52387,13031.1,10436.2,13130.6,10510.4
405/647,13089.4,10468.8,13123.9,10511.6,19070.21289,94301.10156,283.88394,21.26941,1.0684,3152.59692,97371.75,26732,1,-1,5,0,0,1599.9785,4.71611,13089.4,10468.8,13123.9,10511.6
405/647,13027.3,10416.2,13134.6,10511.6,10327.11914,34239.16406,232.45143,0.20473,1.11462,2627.96875,38216.53125,48720,1,-1,6,0,0,580.92562,7.11084,13027.3,10416.2,13134.6,10511.6
405/647,13074.5,10457.8,13137.3,10507.8,5342.87793,34127.0625,322.64285,7.28748,1.08827,2739.3418,36019.25,24247,1,-1,5,0,0,579.02363,11.86112,13074.5,10457.8,13137.3,10507.8
405/647,13082.4,10440.2,13142.2,10501.4,3352.85278,22646.25781,331.78076,82.32856,1.06094,2559.44116,25922.38281,27064,1,-1,-2,0,0,384.23226,17.19259,13082.4,10440.2,13142.2,10501.4
405/647,13100.4,10443.5,13145.7,10493.3,4587.34277,23987.63281,291.92636,70.6507,1.11096,2596.70288,27445.5625,26601,1,-1,-2,0,0,406.99097,13.26515,13100.4,10443.5,13145.7,10493.3
405/647,13070.1,10448.4,13143.2,10505.5,7216.06543,30281.88281,261.51791,14.51274,1.11821,2872.34253,33685.21875,25736,1,-1,5,0,0,513.78362,9.50512,13070.1,10448.4,13143.2,10505.5
405/647,13085.1,10458.9,13139.9,10511,7120.07275,34315.58984,280.26169,90,1.09359,2921.06787,37785.67188,22527,1,-1,5,0,0,582.22232,9.62634,13085.1,10458.9,13139.9,10511
405/647,13086,10477.6,13132.2,10513.2,3838.50415,28744.01367,349.34372,0,1.16484,3209.34424,32533.125,17225,1,-1,8,0,0,487.69106,16.60989,13086,10477.6,13132.2,10513.2
405/647,13031.3,10435.7,13119.7,10521.2,4733.22607,19200.49023,257.12112,-82.07358,1.11085,2634.22119,22311.16406,37639,1,-1,5,0,0,325.76896,13.04146,13031.3,10435.7,13119.7,10521.2
405/647,13087.6,10479.9,13122.1,10522.7,18164.68555,90014,284.18512,1.28115,1.07041,3066.20728,95005.84375,26731,1,-1,5,0,0,1527.24053,4.85094,13087.6,10479.9,13122.1,10522.7
405/647,13063.1,10473.4,13108.3,10523.1,6601.80762,24073.19141,243.77863,-8.64476,1.11487,2745.34863,26930.92188,26602,1,-1,-5,0,0,408.44262,10.10072,13063.1,10473.4,13108.3,10523.1
405/647,13020.2,10449.2,13108.6,10534.7,3873.55908,9594.50293,200.91685,69.88718,1.06883,2452.72363,11845.53906,37637,1,-1,8,0,0,162.78705,15.22872,13020.2,10449.2,13108.6,10534.7
405/647,13021.3,10434.9,13127.9,10530.9,10519.12988,45186.73047,264.59143,15.4604,1.02949,2684.15063,48117.625,48769,1,-1,-4,0,0,766.6697,6.99156,13021.3,10434.9,13127.9,10530.9
405/647,13023.6,10429.6,13139.7,10516.4,6808.88086,24245.75781,240.9019,18.23853,1.05838,2683.65698,28632.8125,44763,1,-1,5,0,0,411.3705,9.7972,13023.6,10429.6,13139.7,10516.4
405/647,13018.9,10425.1,13141.4,10516.6,3384.86011,16671.83398,283.32281,0,1.13076,2342.81885,19380.875,46562,1,-1,6,0,0,282.86601,16.57253,13018.9,10425.1,13141.4,10516.6
405/647,13097.6,10474.2,13132,10517,15013.43555,70009.80469,275.67642,48.69661,1.15202,3008.98779,73707.59375,26733,1,-1,5,0,0,1187.83535,5.53146,13097.6,10474.2,13132,10517
405/647,13095,10484.5,13141.2,10520.2,5220.6875,24412.61719,276.06006,31.08833,1.16005,3273.27539,28025.5,17230,1,-1,5,0,0,414.20155,12.89793,13095,10484.5,13141.2,10520.2
405/647,13049.7,10453.9,13134,10520.7,3714.88062,16670.73828,270.43643,-54.62474,1.16912,2703.47046,21122.95313,30393,1,-1,5,0,0,282.84742,16.12798,13049.7,10453.9,13134,10520.7
