Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,14255.6,15316.7,14264.4,15340.6,4614.60986,38455.52734,368.52939,-7.20387,1.17847,3274.89844,41348.96875,7430,1,-1,8,0,0,652.4634,14.2422,14255.6,15316.7,14264.4,15340.6
405/647,14224.2,15288.8,14266.8,15336.8,4648.55762,34545.98828,348.01657,16.23436,1.04312,3011.94214,37186.82813,26634,1,-1,5,0,0,586.13142,13.74808,14224.2,15288.8,14266.8,15336.8
405/647,14258.7,15317.3,14267.4,15341.2,3229.54907,30137.28125,389.9791,21.03213,1.26229,2926.27563,32727.5,7433,1,-1,9,0,0,511.33021,18.64606,14258.7,15317.3,14267.4,15341.2
405/647,14239.1,15297.7,14281.4,15345.5,3628.4458,27940.42578,354.25534,-6.19202,1.15602,2650.28101,30729.23438,26637,1,-1,5,0,0,474.05682,16.24173,14239.1,15297.7,14281.4,15345.5
405/647,14189.5,15264.4,14284.9,15340.2,3587.49097,26363.99609,346.07516,-27.13257,1.21552,2578.82617,28476.51563,35705,1,-1,8,0,0,447.31001,16.24582,14189.5,15264.4,14284.9,15340.2
405/647,14259.8,15327.4,14276.8,15353.5,3473.2981,29229.96875,370.34235,69.71746,1.1057,2676.10278,31904.96875,10923,1,-1,6,0,0,495.93611,16.9187,14259.8,15327.4,14276.8,15353.5
405/647,14160.6,15264.8,14275.8,15354.8,4214.10645,35378.38672,369.89334,-30.54773,1.09572,2305.33032,39673.8125,47930,1,-1,5,0,0,600.25447,13.60405,14160.6,15264.8,14275.8,15354.8
405/647,14240.3,15306.8,14279.1,15356.7,3084.60449,21507.70508,337.09903,-77.38036,1.18059,3162.69189,25276.09375,18542,1,-1,-2,0,0,364.91478,20.0641,14240.3,15306.8,14279.1,15356.7
405/647,14177.4,15298.4,14239.9,15361.6,3332.80371,23564.91797,339.45978,-89.9977,1.00279,2728.39746,26896.53125,27098,1,-1,5,0,0,399.81889,17.69257,14177.4,15298.4,14239.9,15361.6
405/647,14193.5,15329.1,14249.9,15366.1,5015.56982,44213.10938,379.03177,66.46907,1.16254,3825.16187,48444.0625,17927,1,-1,9,0,0,750.15056,14.02116,14193.5,15329.1,14249.9,15366.1
405/647,14180.6,15417.3,14232.5,15471.3,4167.74561,32119.76367,354.4017,51.68819,1.1146,2810.09521,36462.32813,26521,1,-1,6,0,0,544.96639,14.72167,14180.6,15417.3,14232.5,15471.3
405/647,14186.3,15441.3,14217.1,15474.4,3953.65479,31286.72656,359.12109,-27.04635,1.05323,3515.05273,34127.42188,14547,1,-1,5,0,0,530.8325,16.74748,14186.3,15441.3,14217.1,15474.4
405/647,14156.5,15456.8,14217.5,15489.7,3563.09741,28595.42969,361.65518,-29.40691,1.21052,3560.5481,33134.14063,19216,1,-1,8,0,0,485.17008,18.4617,14156.5,15456.8,14217.5,15489.7
405/647,14159.4,15419,14230.9,15474.5,3083.04053,22187.17578,342.46927,-36.11111,1.12014,2763.63843,25887.71875,24713,1,-1,7,0,0,376.44316,19.03885,14159.4,15419,14230.9,15474.5
