Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,20642.6,14106.7,20623.5,14333.9,3125.28979,19987.88672,322.8483,-34.06096,1.1943,2852.823,23178.67188,16176,1,-1,9,0,0,339.12848,19.06088,20642.6,14106.7,20623.5,14333.9
405/647,20603.1,14128.2,20583.9,14355.3,3553.63843,14379.02344,256.79602,50.62775,1.11361,3009.46338,16622.29688,16175,1,-1,7,0,0,243.96458,17.46232,20603.1,14128.2,20583.9,14355.3
405/647,20589.9,14372.7,20599,14372.4,2085.56323,10796.70996,290.4653,52.12732,1.07875,3044.68164,13445.59375,755,1,-1,5,0,0,183.18454,28.25419,20589.9,14372.7,20599,14372.4
405/647,20618.4,14343.1,20627.1,14342.8,5743.57178,38342.42188,329.8443,-68.39125,1.0426,3126.52197,40218.42188,745,1,-1,-2,0,0,650.54437,11.66226,20618.4,14343.1,20627.1,14342.8
405/647,20640.9,14146.9,20622.4,14373.3,4281.54053,25234.11328,309.92331,23.47192,1.00015,2884.67334,28715,16145,1,-1,-6,0,0,428.13963,14.56115,20640.9,14146.9,20622.4,14373.3
405/647,20618.5,14316.7,20627.4,14316.3,6515.49219,35685.07422,298.76514,3.22388,1.03089,3074.1123,37255.5,750,1,-1,5,0,0,605.45795,10.48083,20618.5,14316.7,20627.4,14316.3
405/647,20624,14336.6,20633.1,14336.3,6011.63965,32111.46484,295.04877,68.96887,1.18651,3154.51855,35063.59375,754,1,-1,5,0,0,544.82559,11.29583,20624,14336.6,20633.1,14336.3
405/647,20577.7,14262.2,20636.6,14339.4,4161.23682,27476.8418,328.04425,14.84402,1.11451,3095.1792,28974.21875,5861,1,-1,-5,0,0,466.19133,15.28917,20577.7,14262.2,20636.6,14339.4
405/647,20649.3,14136.4,20630.2,14363.4,3100.25073,15449.53613,284.98337,-31.58136,1.08317,2883.79541,19187.03125,16170,1,-1,8,0,0,262.12764,19.32411,20649.3,14136.4,20630.2,14363.4
405/647,20650.6,14147.7,20631.7,14374.6,5387.36914,29368.56641,298.06659,39.37448,1.00246,2877.18066,32733.14063,16166,1,-1,5,0,0,498.28766,11.99807,20650.6,14147.7,20631.7,14374.6
405/647,20574,14282.7,20632.7,14360.2,3098.98169,20516.49414,328.47498,90,1.29518,2981.09326,23622.4375,5876,1,-1,8,0,0,348.0972,19.52941,20574,14282.7,20632.7,14360.2
405/647,20651.6,14137.2,20633.1,14363.6,3157.70386,18268.28711,307.06012,5.92078,1.19993,2864.98608,21378.6875,16147,1,-1,9,0,0,309.95255,18.93589,20651.6,14137.2,20633.1,14363.6
405/647,20653.8,14149.8,20635.3,14376.3,2570.68359,12140.84961,277.43448,-88.33949,1.06844,2873.54956,14735.07813,16150,1,-1,6,0,0,205.99015,22.82341,20653.8,14149.8,20635.3,14376.3
405/647,20655.7,14127.1,20636.7,14354.1,6650.67529,36509.98438,299.11154,-83.77671,1.18508,2923.22266,39425.09375,16171,1,-1,5,0,0,619.45395,10.14648,20655.7,14127.1,20636.7,14354.1
405/647,20628.1,14354.7,20636.9,14354.4,5971.52637,42783.24219,341.70743,-86.44418,1.03471,2974.19946,45122.21875,746,1,-1,-4,0,0,725.89044,11.09798,20628.1,14354.7,20636.9,14354.4
405/647,20625.2,14182.7,20627.4,14404.6,3982.69067,17163.11133,265.01468,26.83325,1.29984,3369.8999,20437.90625,13329,1,-1,6,0,0,291.20136,16.47512,20625.2,14182.7,20627.4,14404.6
405/647,20647.9,14179.4,20628.9,14406.4,2447.66553,15959.53809,325.98254,48.57202,1.22215,2858.16162,19614.07813,16169,1,-1,-2,0,0,270.78069,23.7412,20647.9,14179.4,20628.9,14406.4
405/647,20552.3,14385.9,20611.7,14448.7,2209.15796,15619.92871,339.45825,20.25379,1.14687,3173.95874,18106.01563,4934,1,-1,6,0,0,265.01864,27.21465,20552.3,14385.9,20611.7,14448.7
405/647,20557.1,14230.2,20527.2,14482.1,5186.3501,33130.53125,322.65881,25.00927,1.19473,3037.19653,35396.375,17006,1,-1,5,0,0,562.11578,12.58638,20557.1,14230.2,20527.2,14482.1
405/647,20641.6,14258.5,20611.7,14494,6038.26221,28964.96875,279.60233,31.84843,1.06949,3350.66919,32225.20313,12552,1,-1,5,0,0,491.43994,11.50084,20641.6,14258.5,20611.7,14494
405/647,20636.7,14258.5,20605.7,14494.4,4006.40186,30635.28125,353.01563,-73.41003,1.24512,3092.46484,33220.21875,12524,1,-1,-4,0,0,519.77963,15.77545,20636.7,14258.5,20605.7,14494.4
405/647,20641.5,14259.2,20612.8,14494.2,3601.91309,19842.5332,299.63474,-13.24867,1.15494,3120.57251,23144.95313,12581,1,-1,8,0,0,336.66231,17.42836,20641.5,14259.2,20612.8,14494.2
405/647,20650,14265.9,20620.4,14501.2,4100.77051,22898.50586,301.66928,29.64561,1.00357,3173.56982,26343.07813,12560,1,-1,-5,0,0,388.51208,15.65537,20650,14265.9,20620.4,14501.2
405/647,20595.8,14321.8,20630.9,14474.3,2350.42749,17732.09961,350.64438,-18.22057,1.17783,2863.36401,20331.15625,9750,1,-1,8,0,0,300.85521,24.6266,20595.8,14321.8,20630.9,14474.3
