"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
25508,29754.3,22660.1,146.0,158,526,12.2,37.42,1
1847,29768.1,22678.3,133.1,139,566,12.2,36.73,1
20388,29779.8,22661.8,124.5,143,531,12.2,30.61,1
46606,29808.0,22735.5,164.0,762,572,12.2,14.99,2
18058,29822.9,22652.3,159.3,186,547,12.2,38.45,1
45205,29831.2,22595.4,112.1,120,523,12.2,29.57,1
18810,29819.8,22669.8,119.1,214,552,12.2,19.86,1
20563,29832.9,22684.5,147.8,179,528,12.2,34.11,1
25589,29836.8,22675.5,118.9,109,578,12.2,37.60,1
26132,29843.5,22666.2,155.5,189,541,12.2,36.05,1
18056,29858.9,22679.0,131.3,609,556,12.2,9.50,1
16463,29857.2,22703.9,147.6,2935,578,12.2,4.98,4
20285,29850.4,22730.5,132.2,503,557,12.2,11.27,1
13446,29882.5,22731.4,106.0,150,582,12.2,22.70,1
19150,29888.9,22707.7,131.9,441,587,12.2,12.80,1
26709,29896.7,22720.6,142.8,386,562,12.2,16.26,1
27639,29899.7,22725.7,138.6,488,544,12.2,12.42,1
14334,29926.4,22725.3,139.5,960,565,12.2,10.66,3
26593,29889.1,22736.3,153.9,873,540,12.2,11.56,2
14416,29796.5,22745.5,138.8,338,635,12.2,18.27,1
22251,29801.7,22739.1,173.3,250,538,12.2,33.89,1
10964,29781.2,22755.8,166.4,261,513,12.2,29.49,1
10130,29813.7,22765.8,145.0,945,550,12.2,11.46,3
45169,29819.3,22761.3,140.0,1243,558,12.2,7.34,2
41264,29822.0,22761.3,139.2,346,555,12.2,22.75,2
35110,29824.6,22764.5,122.6,138,528,12.2,30.82,1
36033,29830.7,22751.3,139.2,596,545,12.2,10.56,1
34083,29764.6,22800.1,179.4,221,523,12.2,40.15,1
24806,29756.5,22810.2,179.8,340,533,12.2,27.05,1
18899,29806.7,22793.5,133.1,265,558,12.2,20.01,1
34389,29808.9,22775.9,168.9,390,555,12.2,21.61,1
36506,29809.0,22785.8,141.3,462,553,12.2,13.54,1
22188,29820.6,22784.0,124.1,273,569,12.2,17.37,1
21241,29821.4,22805.8,140.2,700,554,12.2,9.41,1
41862,29785.5,22810.5,123.3,100,538,12.2,42.39,1
26888,29793.4,22812.3,128.1,294,574,12.2,17.27,1
40916,29820.4,22812.4,134.5,362,557,12.2,15.45,1
22059,29771.5,22818.5,134.9,270,570,12.2,20.33,1
6180,29769.6,22953.6,117.6,100,555,12.2,39.21,1
22592,29774.3,22848.7,131.5,202,576,12.2,25.49,1
34396,29818.4,22813.4,143.3,881,550,12.2,10.19,2
38583,29818.0,22814.2,160.6,733,543,12.2,11.24,1
34391,29811.9,22815.5,152.7,1524,538,12.2,8.14,3
43424,29810.4,22826.2,183.4,308,530,12.2,30.68,1
30808,29789.7,22845.0,136.8,160,533,12.2,32.91,1
48949,29806.1,22856.5,124.9,131,539,12.2,33.81,1
26574,29822.1,22775.9,143.8,577,565,12.2,11.61,1
36037,29828.4,22806.4,134.3,359,556,12.2,15.50,1
28058,29828.5,22794.4,151.7,317,534,12.2,21.18,1
7765,29830.2,22807.4,132.9,217,548,12.2,23.75,1
3874,29825.7,22817.2,139.2,1636,570,12.2,6.67,3
28336,29830.9,22822.0,139.2,439,539,12.2,13.66,1
13579,29836.4,22764.8,164.3,1048,561,12.2,11.20,2
36035,29837.6,22759.2,127.1,482,552,12.2,10.92,1
47399,29839.3,22745.6,138.3,593,542,12.2,13.54,2
36504,29840.3,22744.7,117.8,286,564,12.2,15.18,1
7006,29840.5,22753.9,136.6,905,557,12.2,9.23,2
14715,29832.2,22769.9,107.2,175,560,12.2,19.84,1
48200,29832.1,22779.2,133.5,612,547,12.2,12.41,2
46903,29835.8,22789.5,144.6,1944,541,12.2,6.69,4
49561,29837.7,22780.2,122.5,266,545,12.2,17.06,1
36497,29841.3,22783.8,144.7,1879,557,12.2,6.28,3
32224,29841.6,22744.2,143.3,336,536,12.2,18.14,1
46935,29842.2,22791.1,144.6,1369,554,12.2,8.22,3
28321,29832.8,22801.3,144.2,4554,567,12.2,3.58,5
43371,29832.6,22823.7,144.8,2400,571,12.2,5.18,3
28330,29840.7,22810.8,152.2,5176,551,12.2,3.48,5
34486,29836.6,22812.0,153.5,1511,548,12.2,8.32,3
38585,29836.5,22815.4,148.8,1514,535,12.2,7.81,3
28327,29841.9,22818.0,139.2,1019,564,12.2,8.64,2
28342,29842.3,22815.9,127.4,516,541,12.2,13.27,2
48456,29843.0,22834.2,137.1,257,535,12.2,21.40,1
36029,29844.9,22743.5,148.3,3011,567,12.2,4.46,3
45930,29849.7,22744.7,144.1,758,558,12.2,9.23,1
26135,29845.2,22749.9,153.1,919,546,12.2,10.99,2
42298,29850.6,22762.5,148.9,1963,548,12.2,6.32,3
34160,29854.3,22753.7,149.0,2628,546,12.2,5.45,4
36027,29861.0,22767.1,128.4,521,568,12.2,10.50,1
34165,29864.1,22739.7,141.1,2054,552,12.2,5.58,3
37467,29868.8,22761.6,158.7,612,541,12.2,12.84,1
26604,29895.4,22741.7,131.9,603,544,12.2,12.30,2
29224,29886.3,22763.4,146.5,503,561,12.2,13.44,1
17265,29872.8,22766.7,143.8,793,589,12.2,9.01,1
36501,29852.5,22768.3,149.6,780,539,12.2,12.15,2
32529,29851.8,22770.4,153.3,1565,545,12.2,6.97,2
25141,29854.7,22771.4,176.9,348,526,12.2,25.54,1
22222,29859.3,22790.8,139.4,2751,566,12.2,4.76,4
6877,29880.4,22774.8,149.1,185,549,12.2,34.17,1
13573,29865.3,22783.6,143.7,4421,598,12.2,3.70,5
1035,29867.1,22784.0,145.0,1765,597,12.2,5.94,2
22227,29863.8,22788.6,145.2,1847,565,12.2,6.44,3
4519,29868.3,22794.4,148.0,1330,565,12.2,7.64,2
22192,29874.0,22778.8,135.4,1248,575,12.2,7.00,2
22231,29888.3,22792.7,169.4,313,543,12.2,26.42,1
9815,29898.9,22777.3,147.6,3284,563,12.2,4.85,5
2470,29930.0,22741.7,139.8,4565,603,12.2,3.25,4
4644,29922.6,22744.6,152.1,931,562,12.2,8.52,1
44088,29912.3,22774.6,162.7,429,570,12.2,18.72,1
2675,29922.9,22781.5,140.1,327,561,12.2,18.18,1
4964,29925.6,22761.7,162.7,2926,549,12.2,5.77,4
31393,29848.9,22796.3,138.4,2102,547,12.2,5.29,3
39007,29845.0,22831.5,137.4,766,553,12.2,8.45,1
22205,29845.2,22799.9,134.9,906,580,12.2,7.29,1
22209,29879.6,22803.4,135.7,538,558,12.2,14.48,2
38400,29869.9,22804.5,135.9,132,555,12.2,39.65,1
22212,29848.3,22814.3,136.9,770,591,12.2,8.54,1
13984,29920.7,22860.4,154.3,2279,580,12.2,6.67,4
11175,29871.6,22890.4,162.9,274,540,12.2,27.69,1
48010,29872.8,22899.4,149.8,1033,548,12.2,9.57,2
44781,29889.8,22899.8,123.4,191,565,12.2,23.67,1
48013,29895.7,22885.6,138.1,291,552,12.2,19.57,1
32281,29901.5,22929.8,169.0,586,511,12.2,14.53,1
22846,29885.2,22932.7,136.4,328,545,12.2,17.09,1
33847,29904.8,22911.6,158.6,1335,550,12.2,9.86,3
15901,29922.9,22874.7,146.4,931,564,12.2,10.17,2
22245,29912.0,22884.8,133.2,150,567,12.2,34.23,1
35700,29906.9,22911.8,149.6,286,545,12.2,22.90,1
22531,29911.6,22936.5,149.2,690,548,12.2,10.50,1
27609,29915.6,22916.1,147.0,183,565,12.2,34.07,1
20452,29918.4,22930.5,143.6,716,563,12.2,9.65,1
9410,29905.5,22950.8,105.1,101,495,12.2,29.98,1
