Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,15842.7,15290.7,15839.5,15300.5,3458.91138,33698.98047,398.47299,84.41157,1.10826,2978.8833,36758.71875,3292,1,-1,8,0,0,571.76049,17.66384,15842.7,15290.7,15839.5,15300.5
405/647,15840.2,15260.6,15846.9,15269,3330.07617,12220.41016,244.55472,35.56046,1.14775,2806.92456,14605.70313,6147,1,-1,5,0,0,207.34003,18.03382,15840.2,15260.6,15846.9,15269
405/647,15860.6,15273.1,15861.7,15284.4,3808.52197,19374.37305,287.93591,35.02225,1.089,2781.75317,22745.09375,5997,1,-1,6,0,0,328.71918,15.9223,15860.6,15273.1,15861.7,15284.4
405/647,15828.3,15251.6,15859.3,15293.6,3671.01563,20861.50391,304.3266,56.77557,1.0773,3283.72925,24844.26563,13468,1,-1,-5,0,0,353.95088,17.46976,15828.3,15251.6,15859.3,15293.6
405/647,15846.4,15297.9,15847.3,15309.1,5323.96533,32370.4375,314.78708,-15.9541,1.14663,2698.98511,36292.73438,5994,1,-1,5,0,0,549.2195,11.84631,15846.4,15297.9,15847.3,15309.1
405/647,15746.7,15219,15844.9,15310.6,3069.19727,15031.05566,282.51569,-58.74729,1.13772,2706.29639,18927.48438,40942,1,-1,-3,0,0,255.02741,19.0318,15746.7,15219,15844.9,15310.6
405/647,15805.1,15257.4,15862.2,15308.1,4744.47266,21773.10742,273.48056,41.89247,1.21816,3185.58643,25257.26563,20313,1,-1,-5,0,0,369.41778,13.86178,15805.1,15257.4,15862.2,15308.1
405/647,15872.5,15246.1,15888.8,15265.4,3021.24023,14266.41797,277.4119,-66.36699,1.20597,2668.84204,17156.74219,9887,1,-1,-3,0,0,242.05403,19.2037,15872.5,15246.1,15888.8,15265.4
405/647,15784.5,15184,15879.3,15277.7,3539.98706,19539.55469,299.9278,86.62671,1.06872,2593.41577,22611.625,40064,1,-1,-5,0,0,331.52176,16.51669,15784.5,15184,15879.3,15277.7
405/647,15869.2,15226.7,15892,15257.9,4291.88623,19737.41406,273.76709,43.01725,1.0275,3676.46509,22646.20313,14418,1,-1,5,0,0,334.87878,15.93073,15869.2,15226.7,15892,15257.9
405/647,15851.8,15232.6,15891.7,15279.4,3320.12134,22385.40625,331.48642,-32.90075,1.04874,2588.33765,25609.45313,26823,1,-1,5,0,0,379.80647,17.41259,15851.8,15232.6,15891.7,15279.4
405/647,15815.4,15219.3,15876,15284.1,4166.69336,17685.58984,263.0112,81.81161,1.25175,2971.48535,22999.21875,25244,1,-1,-3,0,0,300.0661,15.13053,15815.4,15219.3,15876,15284.1
405/647,15843.8,15246.7,15874.9,15288.8,3587.76123,24438.75977,333.18698,10.0642,1.02219,3478.42041,29059.40625,13464,1,-1,-2,0,0,414.64511,18.20198,15843.8,15246.7,15874.9,15288.8
405/647,15760.2,15206.4,15876.4,15294.6,3914.78931,19884.55859,287.716,-1.09585,1.17465,2485.18188,22802.08594,44394,1,-1,6,0,0,337.37534,14.94072,15760.2,15206.4,15876.4,15294.6
405/647,15879.4,15263,15895.8,15282.2,9397.53223,65206.73438,336.27884,-13.85863,1.13075,2865.76563,69048.48438,9892,1,-1,6,0,0,1106.3431,7.65579,15879.4,15263,15895.8,15282.2
405/647,15827.1,15235.5,15877.6,15290,4318.81836,26027.37109,313.3956,69.12838,1.10856,2702.25439,28406.53125,26952,1,-1,-2,0,0,441.5986,14.12141,15827.1,15235.5,15877.6,15290
405/647,15833.2,15234.6,15886.8,15288.7,3278.41772,28053.32617,373.43948,30.59297,1.23249,2678.23779,30535.34375,20725,1,-1,10,0,0,475.97237,17.79816,15833.2,15234.6,15886.8,15288.7
405/647,15855.6,15258.9,15886.9,15291.8,3823.08252,9943.78906,205.88721,-71.49691,1.0985,3565.77246,16666.15625,13230,1,-1,-3,0,0,168.71329,17.59245,15855.6,15258.9,15886.9,15291.8
405/647,15805.6,15206.3,15899,15283.3,3275.65283,16026.79395,282.38046,-81.75601,1.27307,2609.08667,18650.75,33235,1,-1,-4,0,0,271.9218,17.73192,15805.6,15206.3,15899,15283.3
405/647,15894.4,15285.8,15895,15297.1,6346.98926,49575.61328,356.78812,-45.44646,1.08008,2657.28442,51663.0625,5787,1,-1,6,0,0,841.13456,10.18088,15894.4,15285.8,15895,15297.1
405/647,15834,15266.4,15867.6,15300.5,4071.98145,23232.74414,304.93521,80.80078,1.16664,3422.94043,25523.92188,14591,1,-1,-3,0,0,394.183,16.19944,15834,15266.4,15867.6,15300.5
405/647,15815.3,15248.8,15872.4,15299.5,5438.17578,19702.61523,242.994,-73.62601,1.09667,3728.92603,26149.625,20312,1,-1,5,0,0,334.28836,13.09572,15815.3,15248.8,15872.4,15299.5
405/647,15833,15261.4,15879.9,15299.4,4103.27881,17988.26953,267.29413,-25.89614,1.05377,3488.06128,24219,17423,1,-1,5,0,0,305.20157,16.2558,15833,15261.4,15879.9,15299.4
405/647,15886.8,15292.4,15893.7,15300.7,5028.8335,30630.41211,315.06708,63.34467,1.11186,2785.61353,34243.9375,6150,1,-1,8,0,0,519.69701,12.55092,15886.8,15292.4,15893.7,15300.7
405/647,15859.6,15259.8,15893.6,15300.9,4348.01953,22599.94531,291.05038,27.27365,1.17415,3578.97852,25476.04688,13365,1,-1,7,0,0,383.44649,15.56922,15859.6,15259.8,15893.6,15300.9
405/647,15840.1,15244,15895.1,15301.3,4947.0918,26027.8418,292.82242,72.33906,1.06328,2871.78174,29515.6875,21875,1,-1,5,0,0,441.60658,12.88172,15840.1,15244,15895.1,15301.3
405/647,15891.5,15292.9,15894.2,15303.3,4550.37402,27946.79297,316.37537,-87.11592,1.03122,3009.93823,31211.03125,6042,1,-1,-4,0,0,474.16485,14.02581,15891.5,15292.9,15894.2,15303.3
405/647,15819.1,15266.9,15869.5,15304.9,3369.82373,23435.77539,336.6637,41.57993,1.0153,2789.82373,26723.64063,18356,1,-1,-3,0,0,397.62777,17.67216,15819.1,15266.9,15869.5,15304.9
405/647,15777.4,15218.1,15875.1,15309.5,5159.20361,34870.24609,331.89172,-45.95002,1.11552,2803.56592,37278.26563,40928,1,-1,6,0,0,591.633,12.29609,15777.4,15218.1,15875.1,15309.5
405/647,15810.4,15237.2,15883.6,15304,4352.67529,32125.75781,346.8237,-87.39932,1.09367,2663.69458,34638.96875,28025,1,-1,-3,0,0,545.0681,13.9269,15810.4,15237.2,15883.6,15304
405/647,15866.8,15263.8,15893,15303.7,5598.91846,44189.99609,358.64944,0,1.02379,2913.96191,46913.85938,13856,1,-1,6,0,0,749.75841,11.61501,15866.8,15263.8,15893,15303.7
405/647,15830.7,15249.8,15885.6,15307.1,3609.13086,24794.64844,334.60922,-64.0658,1.01082,2588.2771,28847.42188,21871,1,-1,-6,0,0,420.68336,16.19337,15830.7,15249.8,15885.6,15307.1
405/647,15866,15287.8,15878.9,15309.4,6391.01807,48273.30469,350.85587,-27.41205,1.02803,2624.68628,52704.375,7687,1,-1,5,0,0,819.03868,10.09077,15866,15287.8,15878.9,15309.4
